caption,answer
"While navigating a myriad of life challenges, Anjelica Avella turned to the outdoors to improve her mental health only to discover a noticeable lack of other plus-size women of color on trail. By posting a simple flyer looking for more women to hike with, Anjelica created a community she never could have imagined.

This International Women’s Day, @smartwool and @ospreypacks are thrilled to present Forward, a new short documentary sharing the life and perspective of plus-size hiker @adventureswithanjelica produced by @sprucetonefilms.

Learn more and watch now via the link in our stories and bio! English CC, Spanish subtitles, and English Audio Description are available.

Additional support from @eddiebauer @wildernesssociety and @lekiusa. 

#smartwool #osprey  #gofarfeelgood #internationalwomensday #diversifyoutdoors #latinooutdoors #outdoorsforall #representationmatters",write caption for a documentary about plus-size women hikers
"As you hike your way through peak bloom season, here’s a bit of wise advice from the wildflowers: 

-Hydrate plenty. 
-Celebrate your time in the sun. 
-Appreciate the shade. 
-Always know when it’s time to return home. 

#OspreyPacks",write inspirational instagram post about backpacking
"Looks like the cats out of (or in) the bag – adventure is for everyone 🐱

#OspreyPacks",write a short caption for an Instagram post featuring a backpack
"Ski season ain’t over until we say it’s over ⛷️

#OspreyPacks | Ft. the Soelden 32",write a caption for a skiing backpack post
"However you prep to sleep under the stars, we can handle all the essentials + more🏕️

#OspreyPacks | 📷 @joseangelduranhenriquez",write a short caption for a backpack photo
"Move mountains with Aether™/Ariel Pro. Minimal weight, pro-worthy durability and our most capable suspension. 

#OspreyPacks",write a caption for a backpack post with the Aether/Ariel Pro model
"🌼 GIVEAWAY 🌼 Spring is just around the corner, and we want to ensure you’ve got one of the most fundamental pieces of gear for hitting the trail — a good day pack!

Unless you’ve got some *big* pockets, every hiker needs a backpack to carry the 10 Essentials with them on the trail.
We’ve teamed up with @americanhiking to give away a brand new Hikelite 26 hiking pack, perfect for packing the 10 Essentials to keep you safe and comfortable on your spring hiking adventures!

How to enter 
🥾 Follow @americanhiking and @ospreypacks
🥾 Like this post
🥾Tag a hiking buddy in the comments!

That’s it! One winner will be chosen and notified on 3/25. Good luck everyone! 

#AmericanHikingSociety #OspreyPacks #HikingAdventures #OutdoorAdventures #BeachAdventures #HikingPack #HikingBackpack #SpringHiking #SpringHikes #HikingTrails #HikingCommunity #OutdoorCommunity #EnjoyTheOutdoors #ExploreTheOutdoors","""write a post about a backpack giveaway in spring with hiking hashtags"""
"Pack accordingly, wherever you're headed⛰️

#OspreyPacks ft. the Mutant 38 | 📷 @sam_lowe21",write a caption for a backpack post featuring the Osprey Mutant 38
"Play 'I Spy' when you're on a mountain high 😉

Where will you take your next Poco adventure? 

#OspreyPacks",write a caption for a backpack post with a sense of adventure
"Up the ante on speed and efficiency. The all-new Talon/Tempest Velocity uniquely pairs award-winning, multi-sport features with a running vest-inspired harness for quick movement across any landscape. 

#OspreyPacks",write a post about the new Talon/Tempest Velocity backpack
"Under the Northern Patagonia sky, Lau Nitzsche bikepacked her way across the Andes, stopping to sleep, play her flute and snowboard down an active volcano. 

This dream and journey were for Lau, and Lau alone. 

We sat down with Lau to learn how she prepared, what she discovered along the way and what kept her pedaling from Argentina to Chile.  Check out her story via the link in our bio. 

#OspreyPacks",write an article about a backpacker's journey through Patagonia
"Can’t hit the trails today? You can still take an Osprey with you. 🎒 

Check out the Arcane Large Day and more lifestyle day packs – available now.

#OspreyPacks",write a promotional post for Osprey backpacks
"Somewhere over the rainbow, spring hikes are coming 🌈

How are you prepping for this new season? 

#OspreyPacks | 📷 @celine_m83 & @fly9girl",write caption for spring hiking photo with Osprey backpack
"Welcome to the #OspreyAthlete team, Amie Engerbretson!  ❄️⛷️ 

Whether she’s sending heli lines or advocating for climate protections on Capitol Hill, Amie is a force to be reckoned with. 

Learn more about Amie’s remarkable career via the link in our bio. 

#OspreyPacks",write a post welcoming a new member to the Osprey Athlete team
"New parenthood meets ultra training. With the help of the Osprey Poco, #OspreyAthlete @narrowgreenarrow conquered both. 

After securing 7th place at UTMB 2023, Tyler Green shares his journey on the @outsidemagazine podcast – hear more via the link in bio.",write a post about a backpack used for ultra training and parenthood
"For the intrepid mountaineers, ultralight hikers and perpetual dawn-chasers, Pro Series delivers top-tier pack technology and designs built to last year after year of heavy wear. 

#OspreyPacks",write a post about durable backpacks for adventurous hikers
"Whether you're hiking the mountain peaks or forest valleys - we've got a pack for that.

#OspreyPacks | 📷 @theshapesofworld & @zanet_mic",write caption for backpack photo with mountain view
"POV: You're racing to catch up with the Hikelite on the trail 😤

#OspreyPacks | 📷 @chxrl1er",write a caption for a photo of someone hiking with an Osprey backpack
"Using your extra day of adventure to travel? Take the Sojourn Travel Collection along for the ride ✈️

#OspreyPacks | 📷 @dss_pic",write a short caption for a travel-themed backpack post
You know what? Maybe it is going to be okay 🌲,create a short and positive instagram post about backpacking in nature
"Growing up, wherever Jahmicah saw Black role models freely expressing themselves—through sneaker collecting, streetwear and skate culture—that’s where he wanted to be. Today, as an outdoor entrepreneur and owner of Slim Pickins Outfitters, he finds more in common with his old and new hobbies than he ever expected. 

Read “Sole Searching: Sneaker Culture and the Outdoors” by Jahmicah Dawes via the link in our bio. 

#OspreyPacks",write a post about a backpack entrepreneur and his connection to sneaker culture
"#OspreyPartner The Global Climbing Initiative’s Community Grants program is now open for applications until Feb. 29! 

With this year’s 3 grant categories, GCI is looking to power climbing communities around the globe with the tools and skills they need to thrive. If you have an organization that aligns, check out more info at the link in bio and apply now.",write a post about a backpack grant program
"To all the love birds out there, Happy Valentines Day ❤️

Share the love - got an Osprey pack in your wedding pics? Tag us 👀

#OspreyPacks | 📷 @matlai_photography & @hannahmead_photo",write a Valentine's Day themed post featuring an Osprey backpack
