caption,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13
"While navigating a myriad of life challenges, Anjelica Avella turned to the outdoors to improve her mental health only to discover a noticeable lack of other plus-size women of color on trail. By posting a simple flyer looking for more women to hike with, Anjelica created a community she never could have imagined.

This International Women’s Day, @smartwool and @ospreypacks are thrilled to present Forward, a new short documentary sharing the life and perspective of plus-size hiker @adventureswithanjelica produced by @sprucetonefilms.

Learn more and watch now via the link in our stories and bio! English CC, Spanish subtitles, and English Audio Description are available.

Additional support from @eddiebauer @wildernesssociety and @lekiusa. 

#smartwool #osprey  #gofarfeelgood #internationalwomensday #diversifyoutdoors #latinooutdoors #outdoorsforall #representationmatters",smartwool,osprey,gofarfeelgood,internationalwomensday,diversifyoutdoors,latinooutdoors,outdoorsforall,representationmatters,,,,,,
"As you hike your way through peak bloom season, here’s a bit of wise advice from the wildflowers: 

-Hydrate plenty. 
-Celebrate your time in the sun. 
-Appreciate the shade. 
-Always know when it’s time to return home. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Looks like the cats out of (or in) the bag – adventure is for everyone 🐱

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Ski season ain’t over until we say it’s over ⛷️

#OspreyPacks | Ft. the Soelden 32",OspreyPacks,,,,,,,,,,,,,
"However you prep to sleep under the stars, we can handle all the essentials + more🏕️

#OspreyPacks | 📷 @joseangelduranhenriquez",OspreyPacks,,,,,,,,,,,,,
"Move mountains with Aether™/Ariel Pro. Minimal weight, pro-worthy durability and our most capable suspension. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"🌼 GIVEAWAY 🌼 Spring is just around the corner, and we want to ensure you’ve got one of the most fundamental pieces of gear for hitting the trail — a good day pack!

Unless you’ve got some *big* pockets, every hiker needs a backpack to carry the 10 Essentials with them on the trail.
We’ve teamed up with @americanhiking to give away a brand new Hikelite 26 hiking pack, perfect for packing the 10 Essentials to keep you safe and comfortable on your spring hiking adventures!

How to enter 
🥾 Follow @americanhiking and @ospreypacks
🥾 Like this post
🥾Tag a hiking buddy in the comments!

That’s it! One winner will be chosen and notified on 3/25. Good luck everyone! 

#AmericanHikingSociety #OspreyPacks #HikingAdventures #OutdoorAdventures #BeachAdventures #HikingPack #HikingBackpack #SpringHiking #SpringHikes #HikingTrails #HikingCommunity #OutdoorCommunity #EnjoyTheOutdoors #ExploreTheOutdoors",AmericanHikingSociety,OspreyPacks,HikingAdventures,OutdoorAdventures,BeachAdventures,HikingPack,HikingBackpack,SpringHiking,SpringHikes,HikingTrails,HikingCommunity,OutdoorCommunity,EnjoyTheOutdoors,ExploreTheOutdoors
"Pack accordingly, wherever you're headed⛰️

#OspreyPacks ft. the Mutant 38 | 📷 @sam_lowe21",OspreyPacks,,,,,,,,,,,,,
"Play 'I Spy' when you're on a mountain high 😉

Where will you take your next Poco adventure? 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Up the ante on speed and efficiency. The all-new Talon/Tempest Velocity uniquely pairs award-winning, multi-sport features with a running vest-inspired harness for quick movement across any landscape. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Under the Northern Patagonia sky, Lau Nitzsche bikepacked her way across the Andes, stopping to sleep, play her flute and snowboard down an active volcano. 

This dream and journey were for Lau, and Lau alone. 

We sat down with Lau to learn how she prepared, what she discovered along the way and what kept her pedaling from Argentina to Chile.  Check out her story via the link in our bio. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Can’t hit the trails today? You can still take an Osprey with you. 🎒 

Check out the Arcane Large Day and more lifestyle day packs – available now.

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Somewhere over the rainbow, spring hikes are coming 🌈

How are you prepping for this new season? 

#OspreyPacks | 📷 @celine_m83 & @fly9girl",OspreyPacks,,,,,,,,,,,,,
"Welcome to the #OspreyAthlete team, Amie Engerbretson!  ❄️⛷️ 

Whether she’s sending heli lines or advocating for climate protections on Capitol Hill, Amie is a force to be reckoned with. 

Learn more about Amie’s remarkable career via the link in our bio. 

#OspreyPacks",OspreyAthlete,OspreyPacks,,,,,,,,,,,,
"New parenthood meets ultra training. With the help of the Osprey Poco, #OspreyAthlete @narrowgreenarrow conquered both. 

After securing 7th place at UTMB 2023, Tyler Green shares his journey on the @outsidemagazine podcast – hear more via the link in bio.",OspreyAthlete,,,,,,,,,,,,,
"For the intrepid mountaineers, ultralight hikers and perpetual dawn-chasers, Pro Series delivers top-tier pack technology and designs built to last year after year of heavy wear. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Whether you're hiking the mountain peaks or forest valleys - we've got a pack for that.

#OspreyPacks | 📷 @theshapesofworld & @zanet_mic",OspreyPacks,,,,,,,,,,,,,
"POV: You're racing to catch up with the Hikelite on the trail 😤

#OspreyPacks | 📷 @chxrl1er",OspreyPacks,,,,,,,,,,,,,
"Using your extra day of adventure to travel? Take the Sojourn Travel Collection along for the ride ✈️

#OspreyPacks | 📷 @dss_pic",OspreyPacks,,,,,,,,,,,,,
You know what? Maybe it is going to be okay 🌲,,,,,,,,,,,,,,
"Growing up, wherever Jahmicah saw Black role models freely expressing themselves—through sneaker collecting, streetwear and skate culture—that’s where he wanted to be. Today, as an outdoor entrepreneur and owner of Slim Pickins Outfitters, he finds more in common with his old and new hobbies than he ever expected. 

Read “Sole Searching: Sneaker Culture and the Outdoors” by Jahmicah Dawes via the link in our bio. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"#OspreyPartner The Global Climbing Initiative’s Community Grants program is now open for applications until Feb. 29! 

With this year’s 3 grant categories, GCI is looking to power climbing communities around the globe with the tools and skills they need to thrive. If you have an organization that aligns, check out more info at the link in bio and apply now.",OspreyPartner,,,,,,,,,,,,,
"To all the love birds out there, Happy Valentines Day ❤️

Share the love - got an Osprey pack in your wedding pics? Tag us 👀

#OspreyPacks | 📷 @matlai_photography & @hannahmead_photo",OspreyPacks,,,,,,,,,,,,,
"Can't see the forest for the trees? Head outside to get the bigger picture 🍁

Featuring the Aether/Ariel Series | 📷 @teeganlazarus & @bubbleodyl

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"However you get out there, we’re here for you ⛷️🌊🌲

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"When the view is out of this world, you need a pack that is too 👽🌌

#OspreyPacks | 📷 @rosse228 & @matisahh",OspreyPacks,,,,,,,,,,,,,
"Wherever the sun rises on your camp, our comprehensive line of backpacking packs is ready to greet the day. Find the perfect one for you via the link in our Stories and bio. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Making the days last on the last of our snow days ⛷️🏂

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
Looking to get your kiddos in on the adventure? The Poco Collection is the perfect place to start 🌱,,,,,,,,,,,,,,
"Ready for a fresh start? Let these trailblazin’ new arrivals inspire your next adventure. 

Explore the newest releases from Osprey in our Stories.

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Yearning for a change of pace? Pick a destination that comes alive in spring and let the energy of the season carry you away. 

#OspreyPacks | Featuring the Daylite®, Transporter®, and Sojourn™ Travel Families.",OspreyPacks,,,,,,,,,,,,,
"Nostalgia and skiing—name a more iconic duo. 

A great ski resort is one that has evolved with the times while maintaining a sense of itself throughout the decades. 

If you’re looking for an old-school late-season ski vibe, check out the 7 Spring Skiing Destinations with Great ‘00s Nostalgia via the link in our Stories. 

#OspreyPacks

📸: Patrick Breen",OspreyPacks,,,,,,,,,,,,,
"Packs to hold the basics while you explore the beyond 🌲 Share your top tips for hiking with kids! 

#OspreyPacks | Featuring the Tempest 20",OspreyPacks,,,,,,,,,,,,,
"Lean into that fresh tracks feeling. ❄️

#OspreyPacks | Featuring the Soelden/Sopris & Soelden/Sopris Pro",OspreyPacks,,,,,,,,,,,,,
"Hitting the slopes? Check out how #OspreyAthlete @madisonnnrose preps her pack for a snow day 🎒⛷️ 

Ft. Sopris 30 in Emberglow Orange",OspreyAthlete,,,,,,,,,,,,,
"From Mexico to Canada, Georgia to Maine, it’s just me and my trusty pack. 

#OspreyPacks | Featuring the Aura AG LT & Eja 48",OspreyPacks,,,,,,,,,,,,,
"That cup of hot cocoa tastes even better after days like this. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Make sure you and your pack stand out while you step out ☃️

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Your email is not finding me at all 🌲⛰️🗺️

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Back to the grind? Let the Aoede Collection lighten the load + complete your in-office fit 💼

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"Name a better view ... we'll wait. 🗻 Drop your 2024 bucket list sights in the comments. 

#OspreyPacks | Featuring the Atmos AG 50",OspreyPacks,,,,,,,,,,,,,
"Hiking, biking, or everyday life-ing - the Talon/Tempest Series is up for the challenge. 

#ospreypacks",ospreypacks,,,,,,,,,,,,,
"Make packing for extended trips a breeze 😮‍💨 

Check out how @hilarylextreks preps for 28 days in Norway with her Osprey Eja Pro 55🎒",,,,,,,,,,,,,,
"Come back from break in style. 

Shop Campus & Commute packs now 📚",,,,,,,,,,,,,,
"Hitting the slopes? These old myths are 100% skied out. 

Read “Seven Ski Myths Debunked” via the link in our bio, then have the Best. Day. Ever. 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"A little birdy told us it's National Bird Day tomorrow... 🦅 We're celebrating with some birdwatching – we want to see your Osprey packs! 

Show us how you fly: tag @ospreypacks in your best pack pic with #ospreypacks and #birdwatching 👀",ospreypacks,birdwatching,,,,,,,,,,,,
Even an #OldSchoolOsprey can beat new records – @meow_taineer putting paw prints where other cats haven't gone! 🕶️,OldSchoolOsprey,,,,,,,,,,,,,
"Our Last Call Sale starts now. Take up to 40% off past-season products and last-chance colorways. Shop before your faves are gone for good! 

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"New year, new adventures. If your resolution is to get your little ones outdoors, Osprey's Poco child carrier can make it happen. 

#OspreyPacks | Featuring the Poco Child Carrier",OspreyPacks,,,,,,,,,,,,,
"Featuring original work commissioned by artist, musician and former Hopi Vice Chairman Clark Tenakhongva, our special-edition Bears Ears Daylite™ tells the unique story of Bears Ears. 

As part of this release, Osprey is donating $10,000 to the Hopi Education Endowment Fund for scholarships in Hopi language, history and archaeology.

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
"This pack carried @loriel.bv for 3 months – what's the longest trip you've taken with your Osprey? 

#OspreyPacks | Featuring the Kyte 48L",OspreyPacks,,,,,,,,,,,,,
Pack with us — the perfect outdoor #ASMR 😉,ASMR,,,,,,,,,,,,,
"Tag yourself: We're 😮‍💨Hi😮‍💨 

Comment your go-to trail greeting!

#OspreyPacks",OspreyPacks,,,,,,,,,,,,,
